datetime,open,high,low,close,volume
2023-06-21 14:15:00,1815.5,1817.99,1813.93,1815.48,556.4555
2023-06-21 14:30:00,1815.48,1815.99,1811.8,1813.49,164.86496
2023-06-21 14:45:00,1813.49,1813.66,1809.51,1813.14,334.38651
2023-06-21 15:00:00,1813.14,1814.11,1811.15,1811.15,233.56768
2023-06-21 15:15:00,1811.15,1813.18,1810.81,1813.17,179.16652
2023-06-21 15:30:00,1813.17,1813.76,1812.0,1813.76,286.36427
2023-06-21 15:45:00,1813.76,1814.39,1812.63,1813.26,174.4288
2023-06-21 16:00:00,1813.26,1813.27,1809.62,1812.15,363.07693
2023-06-21 16:15:00,1812.15,1812.49,1808.35,1808.94,353.93559
2023-06-21 16:30:00,1808.94,1809.97,1807.53,1809.96,447.31082
2023-06-21 16:45:00,1809.96,1810.78,1808.63,1809.34,275.79646
2023-06-21 17:00:00,1809.34,1811.3,1809.18,1810.55,318.023
2023-06-21 17:15:00,1810.55,1812.23,1810.54,1812.23,275.98755
2023-06-21 17:30:00,1812.23,1814.66,1811.42,1814.32,281.845
2023-06-21 17:45:00,1814.32,1815.8,1812.68,1813.51,267.84336
2023-06-21 18:00:00,1813.51,1813.89,1811.34,1813.89,450.95921
2023-06-21 18:15:00,1813.89,1819.22,1813.06,1816.87,525.74527
2023-06-21 18:30:00,1816.87,1823.5,1808.85,1812.5,1263.68764
2023-06-21 18:45:00,1812.5,1814.31,1811.08,1812.4,809.22872
2023-06-21 19:00:00,1812.4,1815.66,1812.01,1815.0,414.7855
2023-06-21 19:15:00,1815.0,1818.73,1813.81,1818.31,405.13802
2023-06-21 19:30:00,1818.31,1827.53,1817.23,1825.31,1583.06798
2023-06-21 19:45:00,1825.31,1833.82,1825.31,1829.84,1566.55898
2023-06-21 20:00:00,1829.84,1838.7,1827.88,1830.85,1750.71834
2023-06-21 20:15:00,1830.85,1836.83,1829.29,1833.21,1467.66511
2023-06-21 20:30:00,1833.21,1835.27,1819.97,1820.82,1863.13387
2023-06-21 20:45:00,1820.82,1822.34,1815.91,1816.36,1238.68946
2023-06-21 21:00:00,1816.36,1820.9,1815.15,1819.89,667.72651
2023-06-21 21:15:00,1819.89,1825.32,1819.73,1824.49,1598.5687
2023-06-21 21:30:00,1824.49,1827.78,1822.02,1825.86,935.83413
2023-06-21 21:45:00,1825.86,1839.62,1825.12,1833.83,2737.10167
2023-06-21 22:00:00,1833.83,1834.86,1819.13,1825.46,1847.90452
2023-06-21 22:15:00,1825.46,1848.0,1824.5,1841.67,2477.84279
2023-06-21 22:30:00,1841.67,1848.67,1839.26,1839.27,2054.48099
2023-06-21 22:45:00,1839.27,1845.57,1837.44,1844.0,1571.19522
2023-06-21 23:00:00,1844.0,1847.24,1839.98,1843.78,1225.78474
2023-06-21 23:15:00,1843.78,1858.0,1842.73,1853.5,2376.72538
2023-06-21 23:30:00,1853.5,1858.0,1844.44,1846.64,1743.47397
2023-06-21 23:45:00,1846.64,1852.48,1844.92,1850.1,737.76621
2023-06-22 00:00:00,1850.1,1870.91,1846.82,1865.17,2795.16401
